rank,id
1,Utah
2,Alaska
3,Texas
4,Vermont
5,Massachusetts
6,New York
7,Montana
8,New Hampshire
9,Minnesota
10,Pennsylvania
11,West Virginia
12,Hawaii
13,North Dakota
14,Illinois
15,Louisiana
16,South Dakota
17,Iowa
18,Ohio
19,New Jersey
20,Rhode Island
21,Kansas
22,Florida
23,Maryland
24,Washington
25,Missouri
26,Michigan
27,Arizona
28,Colorado
29,Wyoming
30,Arkansas
31,Nevada
32,Georgia
33,Indiana
34,Connecticut
35,Oklahoma
36,Alabama
37,Idaho
38,Mississippi
39,Wisconsin
40,Maine
41,Nebraska
42,Delaware
43,New Mexico
44,Tennessee
45,Virginia
46,Oregon
47,California
48,Kentucky
49,North Carolina
50,South Carolina
