rank,id
1,West Virginia
2,New Mexico
3,Mississippi
4,Connecticut
5,Vermont
6,Alabama
7,Rhode Island
8,Ohio
9,Illinois
10,Maine
11,Delaware
12,Nevada
13,New York
14,Texas
15,Colorado
16,Massachusetts
17,Puerto Rico
18,Indiana
19,North Dakota
20,Virgin Islands
21,Utah
22,Kentucky
23,New Jersey
24,Kansas
25,Louisiana
26,Georgia
27,Wisconsin
28,New Hampshire
29,Michigan
30,Missouri
31,North Carolina
32,Iowa
33,Arkansas
34,Pennsylvania
35,South Dakota
36,Florida
37,Oregon
38,Washington
39,Alaska
40,Wyoming
41,District of Columbia
42,Montana
43,Hawaii
44,South Carolina
45,Arizona
46,Idaho
47,Tennessee
48,Maryland
49,Nebraska
50,Minnesota
51,Oklahoma
52,Virginia
53,California
