Location,Sample ID,Mg Concentration,Al Concentration,Si Concentration,P Concentration,S Concentration,K Concentration,Ca Concentration,Ti Concentration,V Concentration,Cr Concentration,Mn Concentration,Fe Concentration,Co Concentration,Ni Concentration,Cu Concentration,Zn Concentration,As Concentration,Se Concentration,Rb Concentration,Sr Concentration,Y Concentration,Zr Concentration,Nb Concentration,Mo Concentration,Ag Concentration,Cd Concentration,Sn Concentration,Sb Concentration,Ba Concentration,W Concentration,Hg Concentration,Pb Concentration,Bi Concentration,Th Concentration,U Concentration,LE Concentration,RI Concentration,DI Concentration,SR Concentration
L1,0-10 cm,0,46204,230708,0,0,11919,2588,2636,0,59,223,16677,0,17,11,31,5,0,55,54,16,401,7,0,0,0,0,0,428,5,0,11,0,0,0,690859,5.653622553406271,4.27170937224806,6.5735660847880295
L1,10-20 cm,0,51026,226758,0,0,13095,2735,3448,0,74,230,19135,0,13,14,33,6,0,56,51,17,402,12,0,0,0,0,0,301,5,0,10,11,0,0,685917,5.031700986096683,3.7453972707562695,8.577114427860696
L1,20-30 cm,0,56087,199313,0,0,11752,3192,2958,42,64,197,26368,0,22,14,50,7,0,76,57,17,334,9,0,0,0,0,0,307,5,0,13,7,0,0,703710,4.023621747088306,2.8692707149879704,8.8562874251497
L1,30-40 cm,3904,59415,192748,0,0,12221,3565,3174,67,68,208,30156,0,26,16,57,9,0,84,61,19,328,10,0,0,0,0,0,368,4,0,13,10,0,0,698725,3.6731402453523687,2.566415272022624,9.676829268292684
L1,40-50 cm,0,59438,192181,0,0,12167,3406,3334,74,59,180,28329,0,26,22,54,8,0,81,62,20,354,10,0,0,0,0,0,336,0,0,13,0,0,0,704785,3.6609179288449423,2.596055602531792,9.418079096045197
L1,50-60 cm,3039,60270,202117,0,0,13131,3340,3640,57,77,164,28979,0,26,20,50,9,0,81,64,22,386,10,0,0,0,9,0,303,4,0,14,9,0,0,689234,3.797041848021134,2.6793194691964293,9.430051813471502
L1,60-70 cm,0,59892,196608,0,0,11910,3013,3094,0,58,153,26157,0,23,15,49,8,0,73,57,18,319,9,0,0,0,0,0,280,5,0,12,9,0,0,702801,3.7168591262537434,2.7010192994863624,9.699059561128527
L1,70-80 cm,0,62030,204376,0,0,13219,3213,3181,67,85,149,28069,0,24,18,48,7,0,76,60,18,363,10,0,0,0,0,0,282,4,0,13,10,0,0,689578,3.7305412411580106,2.6883008706393463,8.763085399449036
L1,80-90 cm,0,60044,189711,0,0,11523,3038,2747,0,59,124,26358,0,23,16,45,8,0,70,54,16,297,10,2,0,0,0,0,370,5,0,11,0,0,0,710066,3.5773928006875293,2.6063411361381617,9.24915824915825
L1,90-100 cm,3773,61400,201068,0,0,12267,3236,3050,53,62,138,26285,0,25,15,46,7,0,70,54,18,361,9,0,0,0,0,0,271,0,0,11,0,0,0,692364,3.707817232819856,2.710783735189538,8.448753462603879
