Location,Sample ID,Mg Concentration,Al Concentration,Si Concentration,P Concentration,S Concentration,K Concentration,Ca Concentration,Ti Concentration,V Concentration,Cr Concentration,Mn Concentration,Fe Concentration,Co Concentration,Ni Concentration,Cu Concentration,Zn Concentration,As Concentration,Se Concentration,Rb Concentration,Sr Concentration,Y Concentration,Zr Concentration,Nb Concentration,Mo Concentration,Ag Concentration,Cd Concentration,Sn Concentration,Sb Concentration,Ba Concentration,W Concentration,Hg Concentration,Pb Concentration,Bi Concentration,Th Concentration,U Concentration,LE Concentration,RI Concentration,DI Concentration,SR Concentration
S1,0-10 cm,0,47077,221968,0,0,12498,2658,3433,46,63,259,19138,0,17,15,36,7,0,62,57,21,389,8,0,0,0,0,0,0,3,0,12,0,0,0,695578,5.3385746650074335,3.8910569804188175,8.825192802056556
S1,10-20 cm,0,49944,216380,0,0,12374,2573,3166,0,66,248,19938,0,17,12,36,6,0,64,60,17,400,10,0,0,0,0,0,317,0,0,12,11,0,0,697831,4.905435008711558,3.6120998584840054,7.915
S1,20-30 cm,0,54279,199549,0,0,12702,3105,3406,48,71,285,26302,0,26,17,48,8,0,80,68,20,344,11,2,0,0,0,0,345,4,0,13,9,0,0,703847,4.162569037597353,2.9270901748729594,9.901162790697674
S1,30-40 cm,3994,56792,203983,0,0,13688,3561,3619,52,76,295,29483,0,27,17,55,9,0,89,74,23,358,11,0,0,0,0,0,401,0,0,15,8,0,0,688511,4.066778727677171,2.8064111026579694,10.108938547486034
S1,40-50 cm,3879,58874,198283,0,0,14289,3652,3588,54,88,288,31302,0,26,23,61,10,0,92,78,23,377,12,0,0,0,0,0,471,3,0,15,15,0,0,689958,3.8133412314996487,2.618809563238661,9.517241379310345
S1,50-60 cm,0,56648,194752,0,0,12996,3440,3431,83,64,267,29885,0,25,16,58,9,0,87,74,21,306,10,0,0,0,0,0,255,5,0,15,7,0,0,702756,3.8926116368475605,2.679599978509802,11.212418300653594
S1,60-70 cm,0,57294,202626,0,0,12988,7527,3328,54,76,249,28579,0,26,14,53,9,0,82,74,21,365,10,0,0,0,0,0,391,5,0,13,0,0,0,691203,4.004329062224906,2.802692594070598,9.117808219178082
S1,70-80 cm,0,54968,193661,0,0,12261,9331,3273,45,73,276,28481,0,25,18,52,9,0,79,71,18,338,10,0,0,0,0,0,303,6,0,13,8,0,0,701650,3.989109577672391,2.7612917020754324,9.683431952662723
S1,80-90 cm,0,57702,192285,0,0,12533,7955,3029,0,66,208,28262,0,26,18,54,9,0,79,70,20,352,9,0,0,0,0,0,300,5,0,13,0,4,0,701928,3.773099619335635,2.6627771476217976,8.605113636363637
S1,90-100 cm,2938,58617,193961,0,0,12178,10796,2750,48,53,166,27272,0,23,15,49,8,0,76,70,17,326,9,2,0,0,0,0,363,5,0,12,0,0,0,695001,3.7465761018523955,2.6886336892933103,8.43558282208589
S2,0-10 cm,0,48734,217463,0,0,12266,3222,3032,44,62,257,19158,0,16,15,36,6,0,62,53,16,322,8,0,0,0,0,0,230,5,0,12,0,0,0,698330,5.0523921037568655,3.735851266207808,9.416149068322982
S2,10-20 cm,0,53362,202730,0,0,11632,2945,3079,46,59,250,23014,0,21,13,43,7,0,66,54,17,337,9,0,0,0,0,0,338,5,0,12,7,0,0,705972,4.3015963358069955,3.123207078692456,9.136498516320474
S2,20-30 cm,0,54732,198743,0,0,11561,3696,2931,36,67,263,25703,0,21,16,48,9,0,75,55,18,295,9,0,0,0,9,0,303,4,0,12,9,0,0,705870,4.111442818553107,2.931205567891819,9.935593220338983
S2,30-40 cm,0,59188,197344,0,0,13036,3949,3456,51,77,282,29498,0,23,18,55,9,0,86,63,21,339,11,0,0,0,0,0,365,0,0,15,11,0,0,697250,3.775148095566171,2.6423979035220437,10.194690265486726
