x,y
0.0,692364.0
0.0,693404.0
0.0,695338.0
0.0,696207.0
0.0,696230.0
0.0,697652.0
0.0,697970.0
0.0,698019.0
0.0,698049.0
0.0,698783.0
0.0,699302.0
0.0,699824.0
0.0,700015.0
0.0,700321.0
0.0,700395.0
0.0,700944.0
0.0,701544.0
0.0,702281.0
0.0,703093.0
0.0,704084.0
0.0,704296.0
0.0,704672.0
0.0,704785.0
0.0,704816.0
0.0,706125.0
0.0,706668.0
0.0,708739.0
0.0,708965.0
0.0,709076.0
0.0,709120.0
0.0,709629.0
0.0,710066.0
0.0,710415.0
0.0,710479.0
0.0,710828.0
0.0,712101.0
0.0,712208.0
0.0,712824.0
0.0,712974.0
0.0,715645.0
0.0,716176.0
0.0,716840.0
0.0,716933.0
0.0,718445.0
0.0,719339.0
0.0,722456.0
0.0,723521.0
0.0,725064.0
0.0,727278.0
0.0,727774.0
11.0,731531.0
8.0,726780.0
8.0,719997.0
9.0,718551.0
14.0,716312.0
10.0,713160.0
10.0,711960.0
11.0,710464.0
10.0,709204.0
11.0,707283.0
12.0,705297.0
12.0,701788.0
11.0,701060.0
11.0,698736.0
10.0,696474.0
9.0,693985.0
12.0,692587.0
15.0,690636.0
11.0,685917.0
13.0,685026.0
9.0,681066.0
0.0,679112.0
0.0,680235.0
0.0,681560.0
0.0,686027.0
0.0,686485.0
0.0,689195.0
0.0,690344.0
0.0,690859.0
0.0,692364.0
