x,y
31248.0,58.0
29070.0,49.0
28111.0,54.0
26474.0,52.0
26055.0,49.0
25398.0,47.0
24310.0,47.0
23632.0,46.0
23552.0,46.0
23235.0,46.0
21045.0,42.0
20394.0,43.0
19750.0,42.0
18830.0,39.0
17805.0,48.0
16677.0,54.0
13512.0,41.0
11138.0,113.0
10433.0,174.0
11121.0,229.0
12739.0,337.0
19186.0,101.0
22570.0,81.0
23250.0,82.0
25869.0,81.0
27698.0,66.0
28627.0,64.0
28979.0,64.0
30156.0,61.0
34797.0,100.0
35082.0,101.0
35710.0,104.0
36731.0,107.0
39210.0,102.0
40906.0,95.0
37312.0,60.0
35254.0,59.0
33653.0,60.0
32188.0,56.0
31413.0,58.0
31248.0,58.0
