x,y
21045.0,0.0
21001.0,0.0
20846.0,0.0
19967.0,0.0
19750.0,0.0
19597.0,0.0
19584.0,0.0
18830.0,0.0
18051.0,0.0
13512.0,5.0
12857.0,6.0
11560.0,7.0
10433.0,7.0
11121.0,11.0
12405.0,10.0
14369.0,8.0
14771.0,8.0
16677.0,5.0
18514.0,6.0
20593.0,6.0
22399.0,6.0
22570.0,6.0
22593.0,6.0
24825.0,7.0
26604.0,5.0
28627.0,6.0
31413.0,5.0
31750.0,5.0
33653.0,5.0
35082.0,6.0
35710.0,6.0
36020.0,6.0
36243.0,6.0
36731.0,6.0
37812.0,5.0
40906.0,6.0
39210.0,4.0
35254.0,0.0
31248.0,0.0
28329.0,0.0
28273.0,0.0
26667.0,0.0
26285.0,0.0
26055.0,0.0
25997.0,0.0
25969.0,0.0
25933.0,0.0
25907.0,0.0
25398.0,0.0
25333.0,0.0
25098.0,0.0
24986.0,0.0
24910.0,0.0
24814.0,0.0
24794.0,0.0
24635.0,0.0
24378.0,0.0
23632.0,0.0
23552.0,0.0
21460.0,0.0
21091.0,0.0
21045.0,0.0
