x,y
10963.0,206.0
9641.0,0.0
6786.0,0.0
5642.0,0.0
5185.0,0.0
5116.0,0.0
4754.0,0.0
4484.0,0.0
4419.0,0.0
4392.0,0.0
4339.0,0.0
4163.0,0.0
3814.0,0.0
4530.0,890.0
4869.0,1442.0
9099.0,370.0
9824.0,320.0
10799.0,350.0
10980.0,370.0
11443.0,400.0
11619.0,416.0
11800.0,420.0
11919.0,428.0
12203.0,397.0
12708.0,381.0
13000.0,402.0
13661.0,458.0
14148.0,395.0
15708.0,569.0
16403.0,584.0
16554.0,532.0
16538.0,514.0
16274.0,373.0
15835.0,412.0
15094.0,402.0
14385.0,312.0
13602.0,292.0
13245.0,242.0
12826.0,208.0
12330.0,203.0
11663.0,192.0
11312.0,210.0
10963.0,206.0
