x,y
13802.0,24903.0
13661.0,22625.0
13270.0,21418.0
13095.0,19135.0
12502.0,17805.0
11919.0,16677.0
10904.0,13512.0
5116.0,12784.0
4419.0,11121.0
3814.0,10433.0
4163.0,11138.0
4484.0,12857.0
4754.0,13753.0
5185.0,14771.0
6786.0,19081.0
9824.0,23250.0
10799.0,25333.0
10963.0,26604.0
11584.0,29070.0
11632.0,29517.0
11812.0,31413.0
11800.0,33653.0
13944.0,35254.0
14385.0,37312.0
15708.0,39210.0
16538.0,40906.0
15835.0,37812.0
16403.0,36731.0
16554.0,36020.0
16239.0,34797.0
14138.0,31750.0
15094.0,29071.0
13804.0,27721.0
13802.0,24903.0
