x,y
2781.0,55.0
0.0,39.0
0.0,41.0
0.0,42.0
0.0,43.0
0.0,46.0
0.0,47.0
0.0,48.0
0.0,49.0
0.0,50.0
0.0,51.0
0.0,52.0
0.0,53.0
0.0,54.0
0.0,55.0
0.0,56.0
0.0,57.0
0.0,58.0
0.0,59.0
0.0,60.0
0.0,61.0
0.0,62.0
0.0,64.0
0.0,66.0
0.0,68.0
0.0,69.0
0.0,72.0
0.0,73.0
0.0,75.0
0.0,82.0
0.0,83.0
0.0,95.0
0.0,100.0
0.0,101.0
0.0,104.0
0.0,105.0
0.0,107.0
0.0,112.0
0.0,113.0
0.0,121.0
0.0,129.0
0.0,141.0
0.0,153.0
0.0,174.0
0.0,202.0
0.0,229.0
0.0,290.0
0.0,337.0
3006.0,100.0
3260.0,102.0
3904.0,61.0
4589.0,81.0
4970.0,64.0
5203.0,60.0
5238.0,59.0
5201.0,55.0
4971.0,59.0
4704.0,63.0
4448.0,57.0
4111.0,46.0
3887.0,50.0
3541.0,46.0
3032.0,46.0
2948.0,44.0
2781.0,55.0
