x,y
2248.0,689195.0
1349.0,697652.0
1248.0,701544.0
1297.0,704084.0
1416.0,708965.0
1345.0,712824.0
1488.0,715645.0
1351.0,719339.0
1535.0,727774.0
2035.0,731531.0
2844.0,726780.0
2698.0,725064.0
2845.0,722456.0
2941.0,719997.0
2943.0,717223.0
2958.0,716840.0
3192.0,712068.0
3161.0,711320.0
3101.0,709629.0
3334.0,707000.0
3470.0,705601.0
3334.0,704785.0
3176.0,702281.0
3233.0,700015.0
3302.0,698573.0
3280.0,697970.0
3592.0,693985.0
3877.0,690636.0
3863.0,690433.0
3843.0,688779.0
3741.0,685026.0
3820.0,684177.0
3817.0,681560.0
3830.0,681066.0
3841.0,680235.0
3768.0,679112.0
2918.0,685498.0
2248.0,689195.0
