x,y
0.0,306.0
0.0,308.0
0.0,315.0
0.0,319.0
0.0,325.0
0.0,326.0
0.0,327.0
0.0,328.0
0.0,329.0
0.0,335.0
0.0,338.0
0.0,341.0
0.0,347.0
0.0,349.0
0.0,353.0
0.0,360.0
0.0,377.0
0.0,401.0
0.0,402.0
0.0,448.0
53.0,396.0
57.0,386.0
62.0,371.0
67.0,363.0
74.0,354.0
67.0,328.0
64.0,311.0
70.0,284.0
73.0,275.0
66.0,266.0
42.0,229.0
42.0,220.0
50.0,197.0
0.0,158.0
0.0,161.0
0.0,165.0
0.0,173.0
0.0,174.0
0.0,176.0
0.0,195.0
0.0,198.0
0.0,209.0
0.0,239.0
0.0,242.0
0.0,271.0
0.0,274.0
0.0,284.0
0.0,288.0
0.0,297.0
0.0,298.0
0.0,304.0
0.0,306.0
