x,y
270.0,681066.0
272.0,681560.0
280.0,684177.0
266.0,685026.0
275.0,688779.0
284.0,690636.0
262.0,695338.0
158.0,697652.0
174.0,701544.0
165.0,704296.0
161.0,708965.0
173.0,712974.0
209.0,715645.0
195.0,719339.0
288.0,723521.0
220.0,727278.0
197.0,727774.0
239.0,731531.0
269.0,726780.0
294.0,725064.0
327.0,722456.0
341.0,718551.0
312.0,717223.0
304.0,716933.0
315.0,713160.0
371.0,711670.0
377.0,709120.0
389.0,705601.0
382.0,702281.0
357.0,699824.0
360.0,698736.0
448.0,693985.0
401.0,690859.0
386.0,689234.0
402.0,685917.0
301.0,680235.0
270.0,679112.0
270.0,681066.0
