x,y
311.0,6.0
319.0,5.0
327.0,5.0
329.0,5.0
334.0,5.0
338.0,5.0
341.0,5.0
343.0,5.0
345.0,5.0
346.0,5.0
349.0,5.0
350.0,5.0
353.0,5.0
371.0,7.0
382.0,5.0
389.0,4.0
401.0,5.0
402.0,5.0
448.0,4.0
396.0,0.0
377.0,0.0
361.0,0.0
360.0,0.0
357.0,0.0
354.0,0.0
350.0,0.0
349.0,0.0
347.0,0.0
343.0,0.0
339.0,0.0
338.0,0.0
327.0,0.0
326.0,0.0
325.0,0.0
312.0,0.0
311.0,0.0
310.0,0.0
309.0,0.0
306.0,0.0
305.0,0.0
303.0,0.0
297.0,0.0
287.0,0.0
285.0,0.0
284.0,0.0
277.0,0.0
262.0,4.0
239.0,0.0
229.0,0.0
197.0,6.0
174.0,7.0
161.0,9.0
158.0,11.0
165.0,10.0
176.0,8.0
198.0,8.0
209.0,8.0
220.0,8.0
242.0,8.0
266.0,6.0
270.0,6.0
272.0,6.0
280.0,6.0
288.0,6.0
294.0,6.0
301.0,6.0
302.0,6.0
304.0,6.0
306.0,6.0
311.0,6.0
