x,y
31929.0,20.0
32327.0,17.0
33650.0,11.0
34393.0,9.0
35551.0,10.0
36271.0,9.0
36442.0,9.0
37430.0,10.0
39286.0,8.0
40333.0,7.0
38987.0,7.0
38771.0,7.0
37626.0,8.0
36897.0,7.0
36710.0,7.0
35262.0,6.0
34354.0,8.0
33843.0,8.0
33653.0,8.0
33419.0,8.0
33257.0,8.0
33028.0,8.0
32420.0,8.0
31657.0,8.0
31334.0,8.0
30751.0,8.0
30475.0,9.0
29699.0,10.0
29474.0,10.0
28913.0,10.0
28053.0,9.0
26259.0,13.0
26252.0,13.0
25561.0,12.0
24681.0,11.0
23068.0,13.0
22942.0,13.0
21880.0,15.0
19689.0,16.0
19917.0,18.0
22993.0,22.0
24151.0,22.0
24326.0,22.0
25025.0,22.0
25146.0,22.0
25469.0,22.0
26913.0,18.0
28018.0,20.0
28089.0,20.0
28324.0,20.0
28936.0,17.0
30261.0,14.0
31929.0,20.0
