x,y
24597.0,15.0
25554.0,15.0
25561.0,15.0
25582.0,15.0
26873.0,16.0
28330.0,19.0
29657.0,18.0
30563.0,18.0
31847.0,17.0
32908.0,16.0
33028.0,16.0
33419.0,16.0
34354.0,16.0
34627.0,16.0
35120.0,16.0
35551.0,16.0
36271.0,17.0
37430.0,16.0
38771.0,17.0
39286.0,18.0
40333.0,19.0
38987.0,15.0
37626.0,15.0
36897.0,13.0
36710.0,13.0
35262.0,12.0
34393.0,13.0
33257.0,13.0
32420.0,11.0
31929.0,10.0
30644.0,10.0
29699.0,11.0
28413.0,11.0
27215.0,10.0
25903.0,11.0
24326.0,11.0
23530.0,10.0
22793.0,9.0
19917.0,11.0
19689.0,12.0
21880.0,12.0
22436.0,13.0
23068.0,14.0
23840.0,14.0
24597.0,15.0
