x,y
31319.0,62.0
29699.0,62.0
29478.0,61.0
28587.0,59.0
28018.0,57.0
27215.0,56.0
26389.0,57.0
26274.0,57.0
26259.0,57.0
25582.0,56.0
25158.0,54.0
24326.0,53.0
22793.0,51.0
19917.0,49.0
19689.0,50.0
21880.0,56.0
22990.0,57.0
23840.0,59.0
24092.0,60.0
24745.0,61.0
25561.0,64.0
25964.0,64.0
27539.0,69.0
28913.0,69.0
29460.0,70.0
30385.0,69.0
30777.0,70.0
31288.0,71.0
31847.0,71.0
32327.0,72.0
33653.0,76.0
34354.0,75.0
35551.0,77.0
36271.0,77.0
37430.0,79.0
38987.0,78.0
40333.0,78.0
39286.0,77.0
38771.0,75.0
36897.0,69.0
36442.0,70.0
35195.0,69.0
33419.0,65.0
32380.0,66.0
31319.0,62.0
