x,y
22436.0,8581.0
23530.0,14339.0
22936.0,17442.0
22993.0,21348.0
22990.0,22039.0
21880.0,26835.0
19917.0,44105.0
19689.0,45282.0
22942.0,40729.0
25561.0,27687.0
25554.0,25043.0
26259.0,20638.0
28587.0,14462.0
33362.0,10612.0
36271.0,6235.0
37430.0,4940.0
40333.0,0.0
39286.0,0.0
38987.0,0.0
38771.0,0.0
37626.0,0.0
36897.0,0.0
36710.0,0.0
36640.0,0.0
36442.0,0.0
35430.0,0.0
35262.0,0.0
35195.0,0.0
35120.0,0.0
34393.0,0.0
34354.0,0.0
33843.0,0.0
33571.0,0.0
33257.0,0.0
33028.0,0.0
32380.0,0.0
31334.0,101.0
28053.0,266.0
24681.0,751.0
22793.0,5485.0
22436.0,8581.0
