x,y
19689.0,2820.0
19917.0,3746.0
22793.0,5684.0
24326.0,5296.0
26274.0,5944.0
28018.0,6105.0
29003.0,4405.0
32327.0,2487.0
35551.0,753.0
36271.0,812.0
37430.0,620.0
38771.0,444.0
39286.0,446.0
40333.0,331.0
38987.0,385.0
37626.0,452.0
36710.0,457.0
35430.0,540.0
35262.0,534.0
35195.0,538.0
34354.0,536.0
33257.0,621.0
33028.0,620.0
32380.0,708.0
31657.0,762.0
31334.0,733.0
30751.0,693.0
29699.0,1047.0
29448.0,1083.0
28053.0,923.0
26677.0,1245.0
24681.0,1282.0
24092.0,1475.0
23068.0,1508.0
22436.0,1982.0
19689.0,2820.0
