x,y
19689.0,6.0
19917.0,7.0
22436.0,5.0
23068.0,7.0
23840.0,6.0
24092.0,6.0
24151.0,6.0
24174.0,6.0
24681.0,5.0
25554.0,6.0
26252.0,7.0
26880.0,7.0
27439.0,9.0
27855.0,8.0
28262.0,8.0
28913.0,7.0
28936.0,7.0
29474.0,7.0
30502.0,7.0
31288.0,6.0
31657.0,7.0
32100.0,6.0
32327.0,6.0
32420.0,6.0
32908.0,7.0
33257.0,7.0
33653.0,8.0
33843.0,8.0
34627.0,7.0
35430.0,5.0
36442.0,6.0
36640.0,7.0
37430.0,5.0
37626.0,5.0
38771.0,6.0
39286.0,7.0
40333.0,0.0
38987.0,4.0
36897.0,0.0
36271.0,0.0
35262.0,0.0
35195.0,0.0
33185.0,0.0
32380.0,0.0
31319.0,0.0
30644.0,0.0
30385.0,0.0
29657.0,0.0
29003.0,0.0
28587.0,0.0
28060.0,0.0
28018.0,0.0
27863.0,0.0
27273.0,0.0
27215.0,0.0
27046.0,0.0
26857.0,0.0
26616.0,0.0
26389.0,0.0
26274.0,0.0
25582.0,0.0
25561.0,0.0
25469.0,0.0
25025.0,0.0
25022.0,0.0
24326.0,0.0
23530.0,0.0
23371.0,0.0
22990.0,0.0
22942.0,0.0
22793.0,0.0
21880.0,0.0
19689.0,6.0
