x,y
19917.0,39.0
19689.0,40.0
21880.0,44.0
22436.0,43.0
22990.0,43.0
24092.0,48.0
25561.0,46.0
25964.0,47.0
26873.0,47.0
27059.0,47.0
28330.0,50.0
30261.0,58.0
31847.0,59.0
33650.0,56.0
34393.0,57.0
35551.0,56.0
37430.0,72.0
40333.0,72.0
39286.0,65.0
38771.0,61.0
36710.0,54.0
36271.0,53.0
35430.0,50.0
35120.0,50.0
33843.0,49.0
32908.0,45.0
32480.0,46.0
31319.0,43.0
30644.0,42.0
29699.0,42.0
28914.0,42.0
28053.0,40.0
27215.0,40.0
26913.0,39.0
26274.0,39.0
25903.0,39.0
24681.0,35.0
22793.0,37.0
19917.0,39.0
