x,y
60210.0,24082.0
50493.0,27823.0
46174.0,28195.0
50979.0,28448.0
54372.0,27749.0
61140.0,27065.0
64350.0,26348.0
70016.0,27340.0
77934.0,26863.0
80133.0,26881.0
87372.0,26984.0
91037.0,26771.0
97378.0,25790.0
99015.0,26156.0
104265.0,27190.0
105532.0,27742.0
108535.0,26834.0
114984.0,24638.0
120677.0,25463.0
129924.0,20708.0
134613.0,20495.0
129410.0,19821.0
118015.0,19201.0
115797.0,18952.0
112565.0,19725.0
104409.0,19314.0
95937.0,19634.0
90831.0,21058.0
88050.0,21293.0
82197.0,21338.0
75094.0,20298.0
67356.0,24464.0
60210.0,24082.0
