x,y
60210.0,19.0
50493.0,24.0
46174.0,23.0
50979.0,25.0
54372.0,26.0
58533.0,24.0
60863.0,24.0
61140.0,24.0
64350.0,25.0
67888.0,27.0
70016.0,28.0
77934.0,27.0
80133.0,27.0
85826.0,26.0
87030.0,27.0
91037.0,25.0
95408.0,25.0
99015.0,27.0
102018.0,27.0
104265.0,28.0
106851.0,27.0
108535.0,27.0
112868.0,27.0
115848.0,24.0
119870.0,23.0
122998.0,26.0
129924.0,24.0
134613.0,20.0
129410.0,19.0
125111.0,22.0
121051.0,19.0
118015.0,17.0
115448.0,17.0
113409.0,18.0
112147.0,18.0
109259.0,18.0
108005.0,18.0
105351.0,17.0
101952.0,17.0
100730.0,17.0
95937.0,19.0
90631.0,19.0
88579.0,20.0
82197.0,19.0
80150.0,18.0
75923.0,17.0
73332.0,17.0
67853.0,19.0
60210.0,19.0
