x,y
90831.0,9.0
83065.0,9.0
82995.0,9.0
82197.0,9.0
75923.0,10.0
67853.0,13.0
64350.0,13.0
60863.0,12.0
50493.0,14.0
46174.0,16.0
50979.0,16.0
54372.0,15.0
58533.0,15.0
61140.0,15.0
67356.0,15.0
70016.0,14.0
76679.0,14.0
80133.0,14.0
86253.0,13.0
95408.0,14.0
100011.0,12.0
102473.0,12.0
105532.0,12.0
106851.0,12.0
110681.0,11.0
111610.0,11.0
111925.0,11.0
115241.0,11.0
119870.0,11.0
120677.0,11.0
125111.0,10.0
129924.0,8.0
134613.0,9.0
129410.0,7.0
122998.0,9.0
118015.0,7.0
113409.0,6.0
112147.0,6.0
109259.0,7.0
106479.0,7.0
105610.0,7.0
104787.0,7.0
103727.0,7.0
100730.0,7.0
97559.0,6.0
93542.0,8.0
90831.0,9.0
