x,y
67356.0,11.0
73332.0,11.0
75094.0,11.0
82197.0,16.0
95937.0,44.0
103727.0,79.0
106479.0,84.0
113409.0,72.0
115448.0,68.0
118015.0,64.0
129924.0,32.0
134613.0,19.0
122998.0,16.0
115241.0,20.0
113841.0,19.0
109526.0,13.0
105357.0,13.0
103293.0,12.0
102018.0,11.0
95408.0,10.0
88579.0,10.0
87372.0,10.0
86253.0,10.0
85826.0,10.0
82432.0,8.0
77934.0,8.0
76357.0,8.0
72091.0,8.0
67888.0,6.0
63224.0,7.0
60210.0,6.0
58533.0,6.0
54372.0,6.0
50979.0,5.0
46174.0,6.0
50493.0,10.0
60863.0,11.0
64350.0,11.0
67356.0,11.0
