x,y
78595.0,0.0
75923.0,0.0
75094.0,0.0
67853.0,0.0
66535.0,0.0
64350.0,0.0
60210.0,0.0
50979.0,4.0
46174.0,0.0
50493.0,5.0
54372.0,7.0
58533.0,6.0
63224.0,7.0
67888.0,7.0
72091.0,7.0
76357.0,5.0
80133.0,8.0
84117.0,7.0
86253.0,8.0
88579.0,7.0
91037.0,6.0
93542.0,7.0
95621.0,6.0
97378.0,5.0
99980.0,6.0
101667.0,6.0
101952.0,6.0
102018.0,6.0
102473.0,6.0
104167.0,6.0
105357.0,6.0
105532.0,6.0
105654.0,6.0
108005.0,7.0
108264.0,7.0
111610.0,9.0
114736.0,8.0
116978.0,7.0
119870.0,6.0
121051.0,6.0
122998.0,7.0
125111.0,5.0
129924.0,4.0
134613.0,7.0
129410.0,0.0
120677.0,0.0
118015.0,0.0
115848.0,0.0
115448.0,0.0
114984.0,0.0
113409.0,0.0
112147.0,0.0
111792.0,0.0
111665.0,0.0
110618.0,0.0
109259.0,0.0
106479.0,0.0
104787.0,0.0
103727.0,0.0
103427.0,0.0
102758.0,0.0
100206.0,0.0
100011.0,0.0
98969.0,0.0
98276.0,0.0
97559.0,0.0
95937.0,0.0
90831.0,0.0
85826.0,0.0
83065.0,0.0
82197.0,0.0
78595.0,0.0
