x,y
22199.0,0.0
21851.0,0.0
21676.0,0.0
21403.0,0.0
21362.0,0.0
21158.0,0.0
20846.0,0.0
20723.0,0.0
20643.0,0.0
19634.0,0.0
18952.0,33.0
19201.0,34.0
19725.0,35.0
19821.0,34.0
20527.0,41.0
21343.0,41.0
21442.0,39.0
21793.0,37.0
22068.0,36.0
22312.0,36.0
22699.0,40.0
22837.0,44.0
23090.0,42.0
23404.0,44.0
23540.0,41.0
23913.0,40.0
24638.0,32.0
25346.0,52.0
25374.0,51.0
26348.0,52.0
26834.0,47.0
27340.0,45.0
27742.0,46.0
27823.0,47.0
28448.0,33.0
28195.0,35.0
27749.0,41.0
27190.0,41.0
26881.0,31.0
26477.0,32.0
25819.0,26.0
25398.0,30.0
24439.0,0.0
24082.0,0.0
24010.0,0.0
23967.0,0.0
23839.0,0.0
23790.0,0.0
23219.0,0.0
23084.0,0.0
23079.0,0.0
23017.0,0.0
22546.0,0.0
22299.0,0.0
22236.0,0.0
22199.0,0.0
