x,y
24464.0,16.0
24648.0,15.0
25096.0,16.0
25463.0,18.0
25626.0,18.0
25947.0,17.0
26348.0,17.0
26639.0,17.0
26834.0,16.0
27340.0,16.0
27749.0,18.0
28195.0,19.0
28448.0,15.0
27823.0,16.0
27190.0,10.0
26863.0,13.0
26477.0,13.0
26156.0,12.0
25790.0,14.0
25278.0,12.0
24740.0,13.0
24638.0,13.0
24082.0,13.0
23967.0,12.0
23869.0,11.0
23404.0,11.0
23018.0,11.0
22808.0,12.0
22591.0,12.0
22187.0,10.0
21751.0,12.0
21554.0,12.0
21238.0,10.0
20990.0,11.0
20612.0,11.0
20298.0,11.0
20099.0,11.0
19821.0,11.0
19634.0,10.0
19201.0,9.0
18952.0,11.0
19314.0,14.0
19725.0,12.0
20495.0,14.0
20846.0,14.0
21068.0,15.0
21442.0,16.0
21793.0,15.0
22312.0,15.0
22316.0,15.0
22371.0,15.0
22546.0,15.0
22846.0,16.0
23219.0,19.0
23744.0,16.0
23913.0,16.0
24464.0,16.0
