x,y
19821.0,19.0
19634.0,19.0
19201.0,17.0
18952.0,20.0
19314.0,20.0
19725.0,21.0
20298.0,21.0
20708.0,24.0
21293.0,25.0
21793.0,26.0
22187.0,26.0
22594.0,24.0
23210.0,27.0
23540.0,27.0
24010.0,25.0
24439.0,27.0
25101.0,27.0
25374.0,27.0
25790.0,25.0
26156.0,27.0
26477.0,26.0
26834.0,27.0
26863.0,27.0
26881.0,27.0
27190.0,28.0
27340.0,28.0
27749.0,26.0
28448.0,25.0
28195.0,23.0
27742.0,22.0
27065.0,24.0
26984.0,24.0
26344.0,20.0
25764.0,23.0
25463.0,22.0
25278.0,21.0
24648.0,19.0
23913.0,17.0
23744.0,17.0
23388.0,19.0
22846.0,18.0
22837.0,18.0
22546.0,18.0
22199.0,19.0
22068.0,19.0
21343.0,17.0
21068.0,17.0
20723.0,17.0
20643.0,17.0
20099.0,20.0
19821.0,19.0
