x,y
10693.0,7.0
10770.0,7.0
10886.0,7.0
11298.0,8.0
11494.0,8.0
11523.0,8.0
11605.0,8.0
11989.0,9.0
12657.0,9.0
12875.0,9.0
12936.0,9.0
13075.0,9.0
13115.0,9.0
13124.0,9.0
13285.0,9.0
13696.0,10.0
14101.0,10.0
13844.0,9.0
13122.0,8.0
12831.0,7.0
12593.0,7.0
12310.0,6.0
12119.0,6.0
11910.0,6.0
11597.0,5.0
11593.0,5.0
11407.0,5.0
11304.0,5.0
11230.0,5.0
10897.0,4.0
10364.0,3.0
10156.0,3.0
9838.0,4.0
9640.0,4.0
9350.0,3.0
9314.0,3.0
9058.0,3.0
8532.0,3.0
8529.0,4.0
8677.0,4.0
9211.0,5.0
9323.0,5.0
9628.0,6.0
9874.0,6.0
9917.0,6.0
10000.0,6.0
10015.0,6.0
10031.0,6.0
10233.0,6.0
10495.0,7.0
10658.0,7.0
10693.0,7.0
