x,y
8532.0,2820.0
8529.0,3746.0
9314.0,3822.0
9458.0,4801.0
9058.0,5684.0
10364.0,6105.0
10376.0,5944.0
10322.0,5412.0
10364.0,5296.0
10374.0,5193.0
10771.0,4405.0
11336.0,3994.0
11278.0,3689.0
11356.0,3046.0
11569.0,2487.0
11593.0,1934.0
11597.0,1551.0
11780.0,1217.0
12255.0,841.0
12593.0,823.0
12831.0,781.0
13285.0,907.0
14101.0,812.0
13844.0,620.0
13696.0,331.0
13124.0,444.0
13075.0,452.0
12657.0,385.0
12347.0,540.0
11989.0,536.0
11907.0,538.0
11706.0,621.0
11494.0,693.0
11298.0,708.0
10886.0,733.0
10495.0,923.0
10092.0,1245.0
10000.0,1274.0
9323.0,1282.0
9295.0,1982.0
9211.0,2432.0
8532.0,2820.0
