x,y
37477.0,41.0
40512.0,34.0
41768.0,32.0
46741.0,34.0
43155.0,0.0
40109.0,0.0
38034.0,0.0
34143.0,0.0
33219.0,0.0
32974.0,0.0
32495.0,0.0
31265.0,0.0
30834.0,0.0
30656.0,0.0
30634.0,0.0
29403.0,0.0
28561.0,0.0
27020.0,0.0
26410.0,0.0
25838.0,0.0
25596.0,0.0
22993.0,25.0
21389.0,0.0
19467.0,0.0
18421.0,0.0
17689.0,0.0
16452.0,0.0
16133.0,0.0
14502.0,32.0
15940.0,45.0
16734.0,52.0
18908.0,52.0
19719.0,42.0
20857.0,40.0
21781.0,41.0
22404.0,37.0
23644.0,37.0
25746.0,47.0
27149.0,47.0
28979.0,46.0
29545.0,41.0
30510.0,41.0
31110.0,39.0
31673.0,40.0
32894.0,35.0
34546.0,44.0
37477.0,41.0
