x,y
40512.0,90314.0
37477.0,86161.0
30500.0,79422.0
30009.0,79413.0
24029.0,87420.0
20751.0,94719.0
19250.0,103202.0
21389.0,107857.0
16133.0,116068.0
21466.0,118884.0
19406.0,126239.0
16742.0,129134.0
15940.0,129656.0
16734.0,134679.0
14502.0,139980.0
17294.0,145863.0
16495.0,151601.0
17037.0,155867.0
16095.0,160856.0
17689.0,160473.0
19458.0,152808.0
27149.0,151927.0
23484.0,147557.0
23542.0,142506.0
21781.0,138582.0
22993.0,131650.0
23644.0,130065.0
30834.0,124190.0
29106.0,116657.0
32331.0,111580.0
34584.0,110962.0
34546.0,106554.0
34553.0,104238.0
41254.0,99735.0
43155.0,99601.0
46741.0,95247.0
40512.0,90314.0
