x,y
40512.0,5684.0
40974.0,5296.0
43155.0,4648.0
46741.0,2044.0
41768.0,3949.0
40109.0,2894.0
37477.0,1982.0
34584.0,1675.0
34143.0,1700.0
32331.0,1748.0
30694.0,1330.0
30402.0,1160.0
29545.0,1217.0
28758.0,1248.0
27149.0,620.0
25596.0,990.0
23542.0,781.0
21781.0,753.0
20857.0,708.0
19477.0,457.0
18627.0,385.0
17294.0,452.0
17037.0,444.0
16095.0,331.0
14502.0,538.0
16133.0,923.0
16742.0,907.0
19250.0,1282.0
20751.0,2607.0
25131.0,3794.0
29294.0,4405.0
30159.0,5412.0
31957.0,6105.0
32512.0,5944.0
34553.0,5193.0
38034.0,4996.0
40512.0,5684.0
