x,y
27.0,687112.0
28.0,684811.0
27.0,683045.0
27.0,678987.0
24.0,675568.0
22.0,673526.0
22.0,671929.0
19.0,670408.0
19.0,676384.0
19.0,677732.0
19.0,677749.0
18.0,679792.0
18.0,680772.0
18.0,681961.0
18.0,683535.0
17.0,685525.0
17.0,687322.0
17.0,688754.0
17.0,689920.0
19.0,693180.0
17.0,696702.0
17.0,698011.0
17.0,698554.0
18.0,703685.0
19.0,705983.0
24.0,710758.0
24.0,711563.0
20.0,717194.0
28.0,711103.0
26.0,704857.0
27.0,701307.0
27.0,700306.0
26.0,697332.0
26.0,695473.0
27.0,693603.0
27.0,689283.0
27.0,688293.0
27.0,687112.0
