x,y
0.0,538.0
0.0,571.0
0.0,642.0
0.0,773.0
0.0,781.0
0.0,907.0
0.0,1047.0
0.0,1221.0
0.0,1231.0
0.0,1245.0
0.0,1248.0
0.0,1329.0
0.0,1363.0
0.0,1405.0
0.0,1469.0
0.0,1475.0
0.0,1493.0
0.0,1508.0
0.0,1551.0
0.0,1577.0
0.0,1640.0
0.0,1692.0
0.0,1700.0
0.0,1723.0
0.0,1748.0
0.0,1794.0
0.0,1849.0
0.0,1865.0
0.0,1942.0
0.0,1971.0
0.0,1982.0
0.0,2028.0
0.0,2030.0
0.0,2044.0
0.0,2084.0
0.0,2163.0
0.0,2172.0
0.0,2174.0
0.0,2182.0
0.0,2343.0
0.0,2356.0
0.0,2432.0
0.0,2487.0
0.0,2500.0
0.0,2587.0
0.0,2607.0
0.0,2676.0
0.0,2681.0
0.0,2700.0
0.0,2820.0
0.0,2894.0
0.0,2946.0
0.0,3046.0
0.0,3571.0
0.0,3689.0
0.0,3746.0
0.0,3765.0
0.0,3794.0
0.0,3819.0
0.0,3822.0
0.0,3949.0
0.0,4405.0
0.0,4648.0
0.0,4801.0
0.0,4996.0
0.0,5296.0
0.0,5684.0
74.0,6105.0
64.0,5944.0
90.0,5412.0
95.0,5193.0
72.0,3994.0
98.0,2904.0
56.0,1934.0
83.0,1532.0
119.0,1254.0
155.0,989.0
176.0,733.0
184.0,452.0
142.0,331.0
83.0,385.0
0.0,538.0
