x,y
14.0,687673.0
15.0,686382.0
12.0,684065.0
11.0,681808.0
12.0,678792.0
12.0,677346.0
10.0,671929.0
7.0,670408.0
8.0,673526.0
8.0,675568.0
7.0,677749.0
6.0,680772.0
6.0,681961.0
7.0,683025.0
7.0,684645.0
7.0,686328.0
7.0,687322.0
7.0,689920.0
7.0,691780.0
8.0,693180.0
8.0,694065.0
8.0,695100.0
7.0,697259.0
7.0,697906.0
8.0,701698.0
8.0,703049.0
6.0,704669.0
9.0,706053.0
11.0,711563.0
8.0,717194.0
14.0,711103.0
13.0,705983.0
16.0,702486.0
15.0,697987.0
15.0,697332.0
16.0,694757.0
14.0,692474.0
14.0,691658.0
15.0,690104.0
14.0,687673.0
