x,y
49.0,680640.0
50.0,682682.0
56.0,685525.0
56.0,686328.0
56.0,687322.0
51.0,689920.0
53.0,691780.0
57.0,693180.0
59.0,695870.0
54.0,698011.0
54.0,703049.0
55.0,704669.0
60.0,706053.0
63.0,711563.0
55.0,717194.0
75.0,711103.0
74.0,710758.0
69.0,705983.0
78.0,702486.0
76.0,701307.0
77.0,698367.0
77.0,697332.0
78.0,694757.0
75.0,691658.0
75.0,690104.0
79.0,686756.0
77.0,685556.0
73.0,684065.0
70.0,683045.0
69.0,678792.0
72.0,677346.0
56.0,671929.0
54.0,670408.0
54.0,673526.0
53.0,675568.0
54.0,677749.0
49.0,680640.0
