x,y
51.0,196.0
53.0,198.0
56.0,209.0
65.0,213.0
66.0,225.0
57.0,229.0
56.0,239.0
57.0,238.0
68.0,236.0
74.0,236.0
70.0,254.0
56.0,255.0
62.0,268.0
69.0,267.0
77.0,253.0
79.0,237.0
78.0,232.0
78.0,218.0
76.0,202.0
75.0,194.0
74.0,191.0
73.0,189.0
72.0,177.0
71.0,165.0
74.0,161.0
76.0,159.0
74.0,152.0
71.0,148.0
70.0,140.0
71.0,137.0
69.0,129.0
70.0,125.0
69.0,121.0
68.0,116.0
65.0,112.0
60.0,110.0
59.0,110.0
54.0,112.0
53.0,115.0
50.0,129.0
54.0,136.0
54.0,138.0
54.0,141.0
49.0,153.0
57.0,166.0
55.0,176.0
53.0,181.0
54.0,190.0
51.0,196.0
