x,y
45282.0,682682.0
44105.0,680640.0
40729.0,673526.0
23257.0,671929.0
17442.0,675568.0
4794.0,670408.0
4044.0,676977.0
2401.0,683596.0
0.0,686382.0
0.0,687112.0
0.0,687220.0
0.0,687673.0
0.0,690104.0
0.0,691068.0
0.0,691658.0
0.0,692474.0
0.0,692530.0
0.0,693742.0
0.0,694757.0
0.0,696702.0
0.0,697332.0
0.0,697987.0
0.0,698554.0
0.0,700306.0
0.0,702486.0
0.0,703381.0
0.0,705983.0
0.0,711103.0
751.0,717194.0
724.0,710758.0
14786.0,706053.0
26835.0,698472.0
27687.0,691992.0
29059.0,681689.0
45282.0,682682.0
