x,y
24368.0,3571.0
26835.0,2946.0
27687.0,2607.0
44105.0,3746.0
45282.0,2820.0
40729.0,2030.0
29059.0,1475.0
24990.0,1577.0
16654.0,1221.0
14786.0,1245.0
14462.0,1231.0
10612.0,907.0
6235.0,812.0
6035.0,781.0
4940.0,620.0
0.0,331.0
0.0,385.0
0.0,444.0
0.0,446.0
0.0,452.0
0.0,457.0
0.0,495.0
0.0,534.0
0.0,536.0
0.0,538.0
0.0,540.0
0.0,581.0
0.0,611.0
0.0,620.0
0.0,621.0
0.0,642.0
0.0,656.0
0.0,675.0
0.0,708.0
0.0,747.0
422.0,1274.0
1548.0,2904.0
3465.0,5412.0
4436.0,6105.0
5485.0,5944.0
9012.0,5296.0
21348.0,4801.0
24368.0,3571.0
