x,y
0.0,6.0
0.0,7.0
0.0,8.0
707.0,8.0
3319.0,9.0
7156.0,7.0
8451.0,7.0
10612.0,6.0
14786.0,6.0
15997.0,7.0
20638.0,5.0
21348.0,5.0
23257.0,5.0
24990.0,6.0
25043.0,6.0
29059.0,6.0
44105.0,7.0
45282.0,6.0
40729.0,0.0
27687.0,0.0
26835.0,0.0
22039.0,0.0
16654.0,0.0
14705.0,0.0
14462.0,0.0
14339.0,0.0
10468.0,0.0
9012.0,0.0
8210.0,0.0
7422.0,0.0
7247.0,0.0
7064.0,0.0
6278.0,0.0
6235.0,0.0
6035.0,0.0
5486.0,0.0
5485.0,0.0
4794.0,0.0
4436.0,0.0
4408.0,0.0
4260.0,0.0
3901.0,0.0
3465.0,0.0
3138.0,0.0
2899.0,0.0
2401.0,0.0
736.0,0.0
0.0,0.0
0.0,4.0
0.0,5.0
0.0,6.0
