x,y
93338.0,97559.0
90269.0,98969.0
86032.0,102758.0
79422.0,112565.0
79413.0,115797.0
90314.0,118015.0
91077.0,121051.0
90207.0,125111.0
87181.0,129924.0
87420.0,134613.0
95247.0,129410.0
101567.0,120677.0
104343.0,116978.0
111338.0,111128.0
117905.0,104340.0
118106.0,104170.0
118884.0,101667.0
124190.0,95937.0
129940.0,95408.0
132740.0,88579.0
134679.0,86253.0
138509.0,80155.0
142506.0,78595.0
147557.0,75094.0
152808.0,67356.0
160473.0,60210.0
155867.0,58533.0
160856.0,46174.0
151927.0,50493.0
148133.0,50979.0
145863.0,61140.0
138582.0,60863.0
135992.0,63224.0
129656.0,70016.0
126239.0,80133.0
123759.0,82197.0
114071.0,83065.0
110909.0,82995.0
111580.0,90831.0
100696.0,93542.0
93338.0,97559.0
