x,y
138582.0,12875.0
142506.0,12831.0
147927.0,14101.0
151927.0,13844.0
160856.0,13696.0
160473.0,12936.0
155867.0,13124.0
152808.0,12670.0
147557.0,11910.0
142880.0,12111.0
141112.0,11952.0
138509.0,11523.0
136830.0,11298.0
131612.0,10658.0
129261.0,10886.0
123759.0,10972.0
116210.0,10000.0
110909.0,10092.0
108349.0,9874.0
103202.0,9323.0
97189.0,9547.0
95247.0,9350.0
93338.0,9314.0
90314.0,9058.0
86032.0,8677.0
79413.0,8529.0
79422.0,8532.0
86161.0,9295.0
87420.0,9628.0
90207.0,9838.0
91077.0,9907.0
94986.0,10364.0
99147.0,10897.0
102479.0,11392.0
104343.0,11593.0
107255.0,11597.0
109059.0,11780.0
113224.0,11731.0
116588.0,11794.0
118106.0,11823.0
124727.0,12593.0
129134.0,13285.0
138582.0,12875.0
