x,y
79413.0,680640.0
79422.0,682682.0
87420.0,691004.0
86032.0,698472.0
86161.0,703049.0
93338.0,704669.0
101110.0,704857.0
103202.0,717194.0
110909.0,706053.0
116068.0,711563.0
116210.0,703564.0
126239.0,701307.0
129261.0,704438.0
129656.0,711103.0
135992.0,710758.0
139980.0,705983.0
148133.0,702486.0
151601.0,697332.0
160856.0,694757.0
160473.0,687220.0
152808.0,686382.0
147557.0,685298.0
142506.0,678792.0
141112.0,690035.0
134679.0,691068.0
129940.0,686619.0
129134.0,684065.0
124190.0,683030.0
116657.0,682745.0
109482.0,677346.0
104343.0,676977.0
95247.0,670408.0
90207.0,671929.0
87181.0,675568.0
79413.0,680640.0
