x,y
79413.0,20.0
79422.0,21.0
87181.0,24.0
95412.0,26.0
101110.0,26.0
105117.0,27.0
106678.0,28.0
109059.0,27.0
113224.0,25.0
116068.0,24.0
118106.0,24.0
126239.0,27.0
129656.0,28.0
130613.0,27.0
131612.0,26.0
135992.0,24.0
139101.0,25.0
139805.0,25.0
142506.0,24.0
147753.0,26.0
150750.0,27.0
151601.0,26.0
155867.0,24.0
160856.0,23.0
160473.0,19.0
152808.0,24.0
148544.0,21.0
142880.0,17.0
136830.0,17.0
132500.0,18.0
124190.0,19.0
123759.0,19.0
118884.0,20.0
116210.0,19.0
111474.0,17.0
106554.0,18.0
104013.0,17.0
100198.0,17.0
95392.0,17.0
90314.0,17.0
86161.0,19.0
79413.0,20.0
