x,y
91077.0,59.0
94719.0,64.0
99147.0,66.0
101110.0,69.0
105941.0,70.0
106678.0,70.0
106965.0,70.0
109482.0,72.0
113224.0,71.0
116588.0,71.0
118106.0,70.0
124727.0,74.0
126239.0,76.0
129656.0,75.0
130613.0,74.0
134679.0,72.0
135992.0,74.0
138582.0,77.0
139805.0,75.0
140430.0,74.0
145863.0,76.0
148133.0,78.0
151927.0,79.0
155867.0,75.0
160856.0,78.0
160473.0,69.0
152808.0,70.0
147557.0,62.0
141112.0,65.0
139101.0,66.0
136830.0,66.0
132500.0,64.0
130065.0,62.0
124190.0,56.0
117905.0,61.0
116210.0,61.0
114071.0,59.0
110967.0,57.0
108349.0,59.0
106099.0,57.0
105923.0,57.0
104238.0,56.0
103202.0,55.0
99601.0,54.0
94986.0,53.0
93362.0,54.0
90314.0,51.0
87181.0,53.0
86161.0,54.0
79413.0,49.0
79422.0,50.0
86032.0,56.0
87420.0,55.0
91077.0,59.0
