x,y
93338.0,78.0
86161.0,63.0
79413.0,58.0
79422.0,72.0
87181.0,99.0
90690.0,111.0
95392.0,132.0
99297.0,135.0
101567.0,124.0
105941.0,126.0
109482.0,138.0
110967.0,149.0
119697.0,57.0
123759.0,85.0
124190.0,86.0
126668.0,68.0
128107.0,61.0
129940.0,55.0
131612.0,54.0
134679.0,57.0
135992.0,56.0
139980.0,67.0
142506.0,51.0
147753.0,77.0
147927.0,79.0
148544.0,85.0
151927.0,65.0
155867.0,58.0
160473.0,48.0
160856.0,40.0
150750.0,0.0
147557.0,0.0
142880.0,0.0
132740.0,0.0
132500.0,0.0
131650.0,0.0
126239.0,0.0
118884.0,0.0
116068.0,0.0
107736.0,0.0
103202.0,0.0
95412.0,74.0
93338.0,78.0
