x,y
155867.0,220.0
150750.0,217.0
148133.0,218.0
147753.0,217.0
145863.0,202.0
142506.0,209.0
140430.0,191.0
136830.0,202.0
134679.0,177.0
130613.0,161.0
129940.0,158.0
128105.0,162.0
126239.0,159.0
124727.0,152.0
118106.0,150.0
116588.0,148.0
113224.0,137.0
111338.0,133.0
109059.0,121.0
108680.0,122.0
106592.0,116.0
105117.0,113.0
102276.0,118.0
99985.0,116.0
99202.0,112.0
95268.0,110.0
91077.0,110.0
90207.0,116.0
87181.0,115.0
86032.0,134.0
79422.0,129.0
79413.0,153.0
86161.0,138.0
90314.0,196.0
94986.0,198.0
100198.0,197.0
104238.0,255.0
105923.0,229.0
110967.0,238.0
116210.0,191.0
119697.0,180.0
124190.0,239.0
129261.0,225.0
130065.0,230.0
131612.0,213.0
135992.0,229.0
138582.0,253.0
142880.0,236.0
147557.0,268.0
152808.0,254.0
160473.0,267.0
160856.0,232.0
155867.0,220.0
