x,y
0.0,496.0
0.0,505.0
0.0,508.0
0.0,545.0
0.0,557.0
0.0,565.0
0.0,573.0
0.0,601.0
0.0,620.0
0.0,644.0
0.0,645.0
0.0,679.0
0.0,741.0
0.0,797.0
0.0,913.0
0.0,1068.0
0.0,1210.0
0.0,1281.0
0.0,1334.0
10.0,652.0
10.0,618.0
11.0,350.0
11.0,336.0
11.0,281.0
13.0,0.0
10.0,0.0
0.0,0.0
0.0,216.0
0.0,220.0
0.0,222.0
0.0,230.0
0.0,236.0
0.0,238.0
0.0,246.0
0.0,251.0
0.0,254.0
0.0,257.0
0.0,258.0
0.0,259.0
0.0,262.0
0.0,264.0
0.0,270.0
0.0,271.0
0.0,273.0
0.0,281.0
0.0,287.0
0.0,291.0
0.0,292.0
0.0,296.0
0.0,297.0
0.0,300.0
0.0,303.0
0.0,308.0
0.0,311.0
0.0,312.0
0.0,314.0
0.0,318.0
0.0,319.0
0.0,320.0
0.0,322.0
0.0,327.0
0.0,329.0
0.0,330.0
0.0,333.0
0.0,336.0
0.0,337.0
0.0,340.0
0.0,345.0
0.0,348.0
0.0,356.0
0.0,368.0
0.0,371.0
0.0,375.0
0.0,376.0
0.0,379.0
0.0,384.0
0.0,400.0
0.0,402.0
0.0,408.0
0.0,413.0
0.0,414.0
0.0,418.0
0.0,422.0
0.0,441.0
0.0,443.0
0.0,445.0
0.0,447.0
0.0,450.0
0.0,456.0
0.0,463.0
0.0,466.0
0.0,474.0
0.0,479.0
0.0,480.0
0.0,496.0
