x,y
3746.0,0.0
3571.0,0.0
3046.0,0.0
2894.0,0.0
2890.0,0.0
2700.0,0.0
2681.0,0.0
2676.0,0.0
2500.0,0.0
2487.0,0.0
2356.0,0.0
2163.0,0.0
2084.0,0.0
2044.0,0.0
1971.0,0.0
1942.0,0.0
1934.0,0.0
1723.0,0.0
1640.0,0.0
1577.0,0.0
1551.0,0.0
1493.0,0.0
1475.0,0.0
1363.0,0.0
1330.0,0.0
1329.0,0.0
1282.0,0.0
1274.0,0.0
1254.0,0.0
1245.0,0.0
1231.0,0.0
1221.0,0.0
1190.0,0.0
1188.0,0.0
1160.0,0.0
1131.0,0.0
1083.0,0.0
1047.0,0.0
1042.0,0.0
1033.0,0.0
990.0,0.0
969.0,0.0
923.0,0.0
901.0,0.0
823.0,0.0
812.0,0.0
800.0,0.0
781.0,0.0
773.0,0.0
762.0,0.0
733.0,0.0
708.0,0.0
693.0,0.0
675.0,0.0
670.0,0.0
656.0,0.0
642.0,0.0
621.0,0.0
620.0,0.0
611.0,0.0
540.0,0.0
538.0,0.0
536.0,0.0
495.0,0.0
457.0,0.0
452.0,0.0
446.0,0.0
444.0,0.0
385.0,0.0
331.0,0.0
571.0,9.0
822.0,15.0
1363.0,16.0
1794.0,12.0
1865.0,12.0
2182.0,14.0
2432.0,10.0
2607.0,11.0
2946.0,11.0
3794.0,16.0
4405.0,14.0
4801.0,9.0
5296.0,8.0
5684.0,10.0
6105.0,12.0
5944.0,9.0
5412.0,0.0
5193.0,0.0
4996.0,0.0
4648.0,0.0
3994.0,0.0
3949.0,0.0
3822.0,0.0
3746.0,0.0
