x,y
2762.0,7.0
2715.0,7.0
2698.0,7.0
2658.0,7.0
2625.0,8.0
2519.0,6.0
2498.0,7.0
2360.0,8.0
2292.0,8.0
2290.0,8.0
2281.0,8.0
2257.0,8.0
2235.0,8.0
2225.0,8.0
2216.0,8.0
2139.0,9.0
2041.0,9.0
1953.0,9.0
1927.0,10.0
1886.0,11.0
1845.0,11.0
1744.0,12.0
1608.0,13.0
1553.0,16.0
1531.0,18.0
1581.0,22.0
1618.0,22.0
1641.0,22.0
1699.0,22.0
1767.0,22.0
1852.0,20.0
1920.0,20.0
2046.0,20.0
2163.0,17.0
2291.0,10.0
2378.0,11.0
2446.0,9.0
2465.0,9.0
2540.0,8.0
2605.0,10.0
2669.0,10.0
2758.0,9.0
2834.0,8.0
2813.0,7.0
2762.0,7.0
