x,y
1865.0,0.0
1858.0,0.0
1856.0,0.0
1852.0,0.0
1842.0,0.0
1838.0,0.0
1837.0,0.0
1829.0,0.0
1819.0,0.0
1808.0,0.0
1802.0,0.0
1785.0,0.0
1784.0,0.0
1780.0,0.0
1776.0,0.0
1767.0,0.0
1705.0,0.0
1699.0,0.0
1679.0,0.0
1668.0,0.0
1666.0,0.0
1647.0,0.0
1641.0,0.0
1639.0,0.0
1623.0,0.0
1618.0,0.0
1595.0,0.0
1588.0,0.0
1581.0,0.0
1563.0,0.0
1553.0,0.0
1550.0,0.0
1531.0,0.0
1608.0,40.0
1717.0,50.0
1812.0,58.0
1845.0,62.0
1886.0,69.0
1955.0,69.0
2013.0,76.0
2114.0,70.0
2135.0,65.0
2216.0,53.0
2291.0,68.0
2350.0,62.0
2378.0,57.0
2486.0,62.0
2540.0,67.0
2605.0,82.0
2698.0,62.0
2715.0,61.0
2762.0,62.0
2813.0,73.0
2834.0,66.0
2758.0,59.0
2669.0,52.0
2658.0,52.0
2596.0,49.0
2519.0,47.0
2483.0,38.0
2446.0,48.0
2360.0,51.0
2331.0,47.0
2274.0,40.0
2163.0,0.0
2091.0,0.0
1980.0,0.0
1941.0,0.0
1930.0,0.0
1920.0,0.0
1906.0,0.0
1865.0,0.0
