x,y
2098.0,5.0
2085.0,5.0
2077.0,5.0
2046.0,5.0
2009.0,5.0
1970.0,4.0
1886.0,5.0
1852.0,4.0
1829.0,3.0
1785.0,3.0
1705.0,4.0
1699.0,4.0
1679.0,4.0
1666.0,4.0
1647.0,4.0
1595.0,3.0
1581.0,3.0
1553.0,3.0
1550.0,3.0
1531.0,4.0
1563.0,5.0
1608.0,6.0
1689.0,6.0
1741.0,6.0
1776.0,6.0
1802.0,6.0
1812.0,6.0
1815.0,6.0
1837.0,6.0
1839.0,6.0
1842.0,6.0
1845.0,6.0
1848.0,6.0
1860.0,6.0
1930.0,7.0
1953.0,7.0
1980.0,7.0
2013.0,7.0
2078.0,8.0
2138.0,7.0
2216.0,8.0
2225.0,8.0
2257.0,8.0
2300.0,9.0
2350.0,8.0
2446.0,7.0
2486.0,8.0
2487.0,8.0
2498.0,8.0
2519.0,8.0
2596.0,10.0
2669.0,9.0
2673.0,9.0
2698.0,9.0
2715.0,9.0
2762.0,9.0
2813.0,10.0
2834.0,9.0
2758.0,8.0
2658.0,8.0
2640.0,8.0
2540.0,8.0
2465.0,6.0
2378.0,7.0
2360.0,7.0
2274.0,6.0
2226.0,6.0
2138.0,5.0
2098.0,5.0
