x,y
1733.0,110.0
1717.0,114.0
1689.0,116.0
1627.0,110.0
1563.0,115.0
1550.0,112.0
1531.0,153.0
1581.0,198.0
1595.0,196.0
1618.0,190.0
1641.0,181.0
1668.0,174.0
1767.0,255.0
1852.0,238.0
1953.0,183.0
1980.0,186.0
2085.0,197.0
2138.0,230.0
2163.0,239.0
2274.0,268.0
2360.0,236.0
2446.0,209.0
2519.0,236.0
2605.0,253.0
2715.0,267.0
2758.0,254.0
2834.0,234.0
2813.0,232.0
2762.0,218.0
2673.0,202.0
2640.0,217.0
2540.0,200.0
2465.0,162.0
2378.0,152.0
2331.0,158.0
2292.0,159.0
2278.0,161.0
2226.0,165.0
2139.0,127.0
2078.0,122.0
2058.0,121.0
2037.0,125.0
1970.0,122.0
1944.0,116.0
1927.0,124.0
1841.0,117.0
1812.0,112.0
1776.0,113.0
1733.0,110.0
