x,y
99.0,19821.0
86.0,19634.0
100.0,19201.0
58.0,18952.0
0.0,19314.0
72.0,19725.0
0.0,20298.0
57.0,20564.0
70.0,20958.0
53.0,21293.0
0.0,21676.0
0.0,21751.0
42.0,22236.0
0.0,22546.0
0.0,22594.0
46.0,22808.0
57.0,22893.0
47.0,23466.0
0.0,23742.0
0.0,23744.0
0.0,23967.0
49.0,24464.0
55.0,24740.0
0.0,25101.0
55.0,25374.0
53.0,25764.0
56.0,25819.0
56.0,25947.0
61.0,26078.0
54.0,26290.0
52.0,26344.0
0.0,26881.0
54.0,27340.0
54.0,27749.0
40.0,28195.0
46.0,28448.0
138.0,27742.0
119.0,27190.0
111.0,26834.0
77.0,26477.0
79.0,26348.0
90.0,26156.0
100.0,25977.0
100.0,25626.0
124.0,25463.0
85.0,25278.0
68.0,25096.0
101.0,24638.0
91.0,24443.0
126.0,23757.0
127.0,23557.0
108.0,23208.0
119.0,23079.0
117.0,22837.0
149.0,22452.0
125.0,22199.0
94.0,21805.0
103.0,21554.0
124.0,21394.0
135.0,21200.0
132.0,20643.0
60.0,20099.0
99.0,19821.0
