x,y
62364.145233977986,55.80510979010659
61140.0,60.0
60210.0,61.0
58533.0,62.0
51882.60961558605,53.728370168639366
50205.858445267055,53.39615018508726
46174.0,73.0
50979.0,62.0
54372.0,66.0
56174.07667948067,70.44203156242347
56836.0,70.0
63918.20811226226,71.1776087198472
67356.0,59.0
70016.0,62.0
76679.0,67.0
80133.0,61.0
85826.0,68.0
91037.0,57.0
95468.0,70.0
104340.0,76.0
108264.0,62.0
109526.0,60.0
111610.0,58.0
112073.0,58.0
119870.0,69.0
122767.64410064435,51.39922061629072
73442.0,58.0
62364.145233977986,55.80510979010659
