x,y
60210.0,331.0
50493.0,405.0
46174.0,455.0
50979.0,410.0
54372.0,398.0
61140.0,397.0
63224.0,387.0
69280.0,366.0
75923.0,340.0
77934.0,349.0
87372.0,340.0
90256.0,317.0
97378.0,297.0
100589.0,301.0
106851.0,299.0
112868.0,311.0
121051.0,292.0
125111.0,320.0
129924.0,340.0
134613.0,203.0
122998.0,232.0
120677.0,215.0
118015.0,209.0
115797.0,203.0
113841.0,191.0
110120.0,189.0
109259.0,191.0
104409.0,197.0
98969.0,226.0
95621.0,221.0
90831.0,237.0
84117.0,230.0
80150.0,263.0
75094.0,285.0
67853.0,315.0
60863.0,332.0
60210.0,331.0
