x,y
19821.0,19.0
19634.0,19.0
19201.0,17.0
18952.0,20.0
19314.0,20.0
19725.0,21.0
20298.0,21.0
20708.0,24.0
22570.0,24.0
22588.47198641766,24.027164685908318
22594.0,24.0
22604.38202247191,24.05056179775281
23250.0,25.0
23790.499795165917,25.93404342482589
24010.0,25.0
24439.0,27.0
25101.0,27.0
25374.0,27.0
25790.0,25.0
25968.126498002664,25.97336884154461
27252.0,25.0
27977.277027027027,25.673423423423422
28448.0,25.0
28195.0,23.0
27742.0,22.0
27065.0,24.0
26984.0,24.0
26344.0,20.0
25764.0,23.0
25463.0,22.0
25278.0,21.0
24648.0,19.0
24019.24551724138,17.289103448275863
23717.201865988125,17.150551314673454
23388.0,19.0
22846.0,18.0
22837.0,18.0
22546.0,18.0
22199.0,19.0
22068.0,19.0
21343.0,17.0
21068.0,17.0
20723.0,17.0
20643.0,17.0
20099.0,20.0
19821.0,19.0
