x,y
22371.0,43.0
22236.0,42.0
22187.0,42.0
21676.0,40.0
21249.0,41.0
21058.0,41.0
20846.0,40.0
20723.0,39.0
20564.0,39.0
20099.0,39.0
19314.0,35.0
18952.0,39.0
19634.0,40.0
19725.0,40.0
19821.0,40.0
20043.741648106905,41.40089086859688
20732.61224489796,43.63265306122449
20852.0,44.0
20862.437583892617,44.04832214765101
21186.166666666668,45.0
21338.0,45.0
21343.0,45.0
21793.0,45.0
21851.0,45.0
22199.0,45.0
22594.0,47.0
22846.0,47.0
23219.0,50.0
23402.667017913594,51.39936775553214
25098.0,56.0
28206.335831469052,59.52319164802386
27742.0,49.0
27190.0,48.0
26834.0,49.0
26344.0,50.0
26078.0,49.0
25764.0,50.0
25374.0,48.0
25096.0,45.0
24740.0,46.0
24638.0,46.0
24443.0,46.0
23967.0,46.0
23742.0,44.0
23368.0,44.0
23090.0,44.0
22837.0,42.0
22699.0,43.0
22371.0,43.0
