x,y
258.0,797.0
203.0,1068.0
198.39899139721152,1271.9780480569564
292.37385782101836,1148.5011179013266
267.0,913.0
286.0,741.0
314.0,618.0
455.0,441.0
387.0,220.0
402.9922647185217,24.538986773623648
389.0,0.0
332.0,0.0
302.0,0.0
297.0,0.0
276.0,0.0
267.0,0.0
266.0,0.0
250.0,0.0
246.0,0.0
242.0,0.0
240.0,0.0
238.0,0.0
237.0,0.0
234.0,0.0
229.0,0.0
228.0,0.0
224.0,0.0
221.0,0.0
209.0,0.0
204.0,0.0
203.0,0.0
201.0,0.0
191.0,0.0
226.0,236.0
221.0,291.0
215.0,320.0
189.0,414.0
191.0,565.0
237.0,679.0
258.0,797.0
